,9483,red-eyed treefrog,,26853372
,852873,wild strawberry,,27319726
,239659,pedunculate oak,,27700647
,920351,giant oceanic manta ray,,26792737
,251385,giant squid,,29251780
,833642,wild cabbage,,27275731
,480785,fly orchid,,26778833
,343294,seven-spot ladybird,,26781256
,22107,Malaria (Santa Lucia strain),,3602077
,810380,Giant sequioa,,26922163
,554297,Great white shark,,28671251
,734744,,,26400599
,1094192,,,28684650
,194353,,,30105239,,40000
,343294,,,26781256,,50000
,943358,,,27739533
,168840,,,26505449
,3675026,,,13144691
,497581,,,27831702
,418509,,,24626310
,2844364,,,29932829
,3646250,,,27724798
,220629,,,25763643
,697372,,,24909143
,75257,Fly agaric,,31923634
,68587,,,27284590
,753585,Giant kelp,,26885891
,333483,,,27948500
,694358,Giardia parasite,,3601378
,880230,,,13144803
,164229,,,27121081
,3684241,,,26793885,,50000
,616365,,,13144987
,675113,,,31483270
,1062870,,,26925344
,852681,,,31918342
,34455,,,27280570
,278116,,,26178466
,321787,,,2005140
,743752,,,13158712
,435190,,,19671606
,405652,,,19675029
,773491,Coelacanth,,25629823
,898631,Sulawesi coelacanth,,
,773500,Australian lungfish,,31485573
,748751,Kenyan lungfish,,
,804486,Slender lungfish,,27709243
,199334,West African lungfish,,27699705
,199355,Marbled lungfish,,24910883
,199346,south american lungfish,,27708606
,3600811,Dwarf Tinamou,,24875972
,784522,Quebracho Crested Tinamou,,
,292461,Elegant Crested-Tinamou,,24875972
,599078,Puna Tinamou,,24875971
,599077,Patagonian Tinamou,,
,3600801,White-bellied Nothura,,27117059
,3600802,Chaco Nothura,,
,892275,Darwin's Nothura,,27117058
,3600800,Lesser Nothura,,26779198
,892276,Spotted Nothura,,13465094
,3600787,Huayco Tinamou,,27117060
,224379,Red-winged Tinamou,,25604025
,292464,Brushland Tinamou,,27769492
,332613,Ornate Tinamou,,27117056
,3600806,Curve-billed Tinamou,,
,3600805,Andean Tinamou,,
,3600803,Taczanowski's Tinamou,,27162853
,402446,Chilean Tinamou,,24899524
,3600798,Bartlett's Tinamou,,27117030
,3600789,Yellow-legged Tinamou,,26780039
,3600790,Grey-legged Tinamou,,27690707
,3600791,Thicket Tinamou,,25037102
,3600795,Black-capped Tinamou,,
,3600797,Choco Tinamou,,
,3600799,Slaty-breasted Tinamou,,25037113
,379420,Small-billed Tinamou,,26779316
,589927,Red-legged Tinamou,,27117037
,3600788,Barred Tinamou,,
,983480,Brown Tinamou,,25688319
,3600796,Berlepsch's Tinamou,,27284524
,758347,Tataupa Tinamou,,26779315
,983483,Variegated Tinamou,,25688315
,647584,Rusty Tinamou,,
,3600793,Tepui Tinamou,,
,960236,Little Tinamou,,25037090
,3600794,Pale-browed Tinamou,,27152407
,647586,Cinereous Tinamou,,27304090
,870607,Undulated Tinamou,,25688317
,167137,Brazilian Tinamou,,27690427
,3600815,Highland Tinamou,,24884755
,3600813,Hooded Tinamou,,27117055
,3600814,Tawny-breasted Tinamou,,
,306216,White-throated Tinamou,,25661299
,466704,Grey Tinamou,,26813760
,402466,Great Tinamou,,25652243
,3600786,Black Tinamou,,
,3600785,solitary tinamou,,25689378
,647692,Ostrich,,27727336
,857864,Grey Rhea,,27279752
,857860,Lesser Rhea,,26823476
,748998,Brown Kiwi,,26829504
,241834,Brown Kiwi,,26829504
,241844,Little Spotted Kiwi,,31374129
,241836,Roroa,,26780766
,829513,Emu,,25644120
,3600826,Northern Cassowary,,25601126
,589152,Double-wattled Cassowary,,29962069
,402459,Dwarf Cassowary,,24116710
,3596007,Buffy-crowned Wood-Partridge,,26918642
,3596009,Long-tailed Tree Quail,,32775758
,3596011,Bearded Tree Quail,,
,3596012,Banded Quail,,27768813
,340882,Canfield's quail,,25631486
,340887,Gambel's Quail,,27704064
,728092,Blue Quail,,24880975
,340885,Elegant Quail,,32234360
,3596003,Spot-bellied Bobwhite,,26886594
,520556,Crested Bobwhite,,27745351
,204709,quail on toast,,25651437
,3596004,Yucatan Bobwhite,,27775188
,676779,plumed partridge,,27776003
,204716,Massena partridge,,26800659
,3596002,Ocellated Quail,,
,3596005,Tawny-faced Quail,,24884749
,3596014,Singing Quail,,
,329467,Spot-winged Wood Quail,,24875965
,3595997,Chestnut Wood Quail,,32387008
,594190,White-throated Wood Quail,,24884760
,3595994,Venezuela Wood Quail,,
,329457,Marbled Wood Quail,,32422445
,3595991,Stripe-faced Wood Quail,,
,3595990,Black-eared Wood-Quail,,24884761
,3595996,Dark-backed Wood Quail,,27783614
,3595995,Black-fronted Wood Quail,,
,3596001,Rufous-fronted Wood Quail,,27284523
,3595992,Spotted Wood-Quail,,
,329460,Rufous-breasted Wood Quail,,
,3596000,Tacarcuna Wood-Quail,,
,3595999,Starred Wood Quail,,26843991
,3595998,Gorgeted Wood Quail,,
,867023,Stone Partridge,,26912405
,979426,Blood Pheasant,,26828523
,446482,Wild Turkey,,29207576
,446490,Ocellated Turkey,,27726976
,928346,Mountain Quail,,24869257
,504006,Adak,,26890097
,444614,Red Grouse,,27749576
,728077,Greater sage grouse,,26781308
,909953,Gunnison sage grouse,,26876595
,1003843,dusky grouse,,26868857
,754431,sooty grouse,,27695463
,849533,pinnated grouse,,27727430
,979422,sharp-tailed grouse,,24880973
,728073,pinnated grouse,,28683355
,55937,Spruce Grouse,,26911164
,55929,Sickle-winged Grouse,,26911249
,55923,Black-billed Capercaillie,,26856793
,484331,Eurasian Capercaillie,,26873632
,725154,Black Grouse,,26864066
,168727,Caucasian Black Grouse,,26923629
,3596087,Snow Partridge,,8998435
,728082,Oregon grouse,,13148251
,3596073,Severtzov's Grouse,,24902644
,259105,Hazel Grouse,,31933800
,781248,Long-billed Partridge,,27071957
,572162,Koklass Pheasant,,25652644
,572176,Reeves's Pheasant,,23598696
,572172,Copper Pheasant,,25665259
,572170,Hume's Pheasant,,26818849
,572165,Elliot's Pheasant,,25606631
,572168,mikado pheasant,,26859095
,102719,Common Pheasant,,28687872
,102722,Green pheasant,,25769268
,352760,White Eared Pheasant,,25606570
,1098756,Blue Eared Pheasant,,27085545
,1096259,brown eared pheasant,,26886977
,422539,Tibetan Eared Pheasant,,27223130
,624448,Crested Fireback Pheasant,,23598408
,352745,Siamese Fireback,,29681383
,53708,Salvadori's Pheasant,,27310706
,53692,Crestless Fireback,,24875925
,453622,Bulwer's Pheasant,,24875920
,53703,Vietnamese pheasant,,26868894
,821600,Edwards's Pheasant,,24875929
,53709,Swinhoe’s Pheasant,,14261259
,53700,Kalij Pheasant,,26870825
,624446,Silver Pheasant,,30298126
,521329,cheer pheasant,,26792724
,521325,Golden Pheasant,,25595652
,943883,Lady Amherst's Pheasant,,26929181
,102712,Grey Partridge,,25607111
,520561,Daurian Partridge,,27157447
,621144,Tibetan Partridge,,26788612
,954861,western tragopan pheasant,,26823553
,51354,Satyr Tragopan,,26847480
,352751,Blyth’s Tragopan,,26823550
,250898,Cabot’s Tragopan,,8998441
,51356,Temminck's Tragopan,,23598701
,689091,Chinese Monal,,25703494
,689093,Sclater's Monal,,25703495
,624442,Himalayan Monal Pheasant,,32395724
,438396,Pheasant Grouse,,26843993
,438398,Szecheny's Partridge,,
,521334,Chinese Bamboo Partridge,,26909703
,867027,Bamboo Partridge,,26792162
,153560,Gray Junglefowl,,26223153
,153572,Green Jungle-fowl,,24875915
,153563,red junglefowl,,28688838
,153554,Ceylon Junglefowl,,26867717
,125001,Montane Francolin,,27116973
,681149,Finsch’s Francolin,,
,681156,Gray-winged Francolin,,27740646
,55582,Red-wing francolin,,27170084
,55587,Orange River Falcon,,27170247
,55570,Shelley’s Francolin,,27116974
,55595,Crested Francolin,,23598174
,772143,Chinese Francolin,,26792157
,204734,Grey Francolin,,23598320
,681148,Swamp Francolin,,26792159
,676796,Black Partridge,,26818763
,981769,Painted Francolin,,26792156
,676785,Coqui's Francolin,,23598446
,931300,Schlegelís Francolin,,
,981766,White-throated Francolin,,30865935
,867018,Latham's Francolin,,
,207168,Painted Spurfowl,,24902007
,3596070,Sri Lanka Spurfowl,,27114863
,3596069,Red Spurfowl,,27096231
,157751,Bornean Peacock-Pheasant,,29891994
,580471,Malayan Peacock-Pheasant,,29891991
,102705,Gray Peacock-Pheasant,,26828526
,110936,Sumatran Peacock-Pheasant,,25682867
,658122,Mountain Peacock-Pheasant,,25663351
,1058436,Germain's Peacock-Pheasant,,29681431
,157749,Hainan Peacock Pheasant,,
,352746,Palawan Peacock-Pheasant,,25664098
,401527,Crimson-headed Wood Partridge,,26843992
,102708,Green Peafowl,,26881330
,453575,common peafowl,,26890953
,51349,Congo Peacock,,25663143
,1098762,Harlequin Quail,,26873649
,681154,Madagascan partridge,,27188053
,803622,japanese quail,,27093344
,1098760,Common Quail,,26857411
,602029,Pectoral Quail,,26893276
,3596047,Rain Quail,,27094565
,520554,Brown Quail,,25683693
,144486,King Quail,,25638522
,3596096,Snow Mountains Quail,,27336940
,1080979,Heuglin’s Francolin,,
,995034,Jackson’s Francolin,,27155114
,1080967,Handsome Francolin,,27186864
,894196,Djibouti Francolin,,26927596
,1080976,Clapperton’s Francolin,,27155134
,3596042,Ahanta Francolin,,
,1080973,Harwood’s Francolin,,
,55577,Swainson's Francolin,,32087516
,914709,Yellow-necked Francolin,,2007258
,676791,Red-necked Francolin,,25683747
,606691,Grey-breasted francolin,,26866242
,681145,Double-spurred Francolin,,31309641
,55574,Scaly Francolin,,27170427
,554509,Gray-striped Francolin,,27169272
,681142,Cape Francolin,,27700419
,681160,Redbilled Francolin,,5824701
,681136,Hildebrandt's Francolin,,27120644
,55592,Natal Francolin,,31968997
,1080982,Chestnut-naped Francolin,,27169273
,676799,Erckell’s Francolin,,21939797
,199231,Swierstra’s Francolin,,
,1080970,Cameroun Mountain Francolin,,
